dest01 to dest02  OFWF	     180.226     168.503     1603     1080
dest01 to dest02  Basic	     180.226     168.575    10132   7646.6
dest01 to dest03  OFWF	     321.824     299.388     3257   1928.3
dest01 to dest03  Basic	     321.824     299.611    17418  10114.2
dest01 to dest04  OFWF	      410.76     384.374    10141   6008.9
dest01 to dest04  Basic	     409.104     384.237    18827  12364.7
dest01 to dest05  OFWF	      450.25     423.273    11697   7860.8
dest01 to dest05  Basic	     449.078     423.273    18881  10966.1
dest01 to dest06  OFWF	     485.944     457.485    11846   9587.5
dest01 to dest06  Basic	     485.358     457.181    18881  13105.1
dest01 to dest07  OFWF	     391.034     370.218     7460   4324.8
dest01 to dest07  Basic	     391.034     370.218    18881  10885.4
dest01 to dest08  OFWF	      451.97     428.426     8417   5225.2
dest01 to dest08  Basic	      451.97     428.426    18881  10799.4
dest01 to dest09  OFWF	      80.698     75.5206      899    527.7
dest01 to dest09  Basic	      80.698     75.5206     1763    947.1
dest02 to dest01  OFWF	     180.226     168.398     1526     1986
dest02 to dest01  Basic	     180.226     168.398     2545   1481.6
dest02 to dest03  OFWF	     141.602     131.046     1094    658.3
dest02 to dest03  Basic	     141.602     131.046     4627   2665.4
dest02 to dest04  OFWF	      229.71     215.773     3646   2198.8
dest02 to dest04  Basic	     228.882     215.668    12827   8005.4
dest02 to dest05  OFWF	     303.022     286.282     6632   5247.9
dest02 to dest05  Basic	     303.022     286.282    16178   9558.8
dest02 to dest06  OFWF	     339.302      320.19     4769   3766.2
dest02 to dest06  Basic	     339.302      320.19    16547   8349.2
dest02 to dest07  OFWF	     275.958      263.99     5046   3978.4
dest02 to dest07  Basic	     274.786     264.007    14340   7218.7
dest02 to dest08  OFWF	     335.722     322.557     5217   3032.7
dest02 to dest08  Basic	     335.722     322.557    14135   7022.4
dest02 to dest09  OFWF	     165.086     155.366     1491   1918.3
dest02 to dest09  Basic	     165.086     155.366     4580   2262.8
dest03 to dest01  OFWF	     321.824     299.326     2822   1799.3
dest03 to dest01  Basic	     321.824     299.326    10251   5540.5
dest03 to dest02  OFWF	     141.602     131.046     1004    601.8
dest03 to dest02  Basic	     141.602     131.046     6159   4258.1
dest03 to dest04  OFWF	     105.666     99.2792     1179    692.1
dest03 to dest04  Basic	     105.666     99.2792     3952   2231.9
dest03 to dest05  OFWF	     197.118     187.433     1987   1167.9
dest03 to dest05  Basic	     197.118     187.433     9691   6388.8
dest03 to dest06  OFWF	     303.474     288.026     4159     2649
dest03 to dest06  Basic	     303.474     288.026    14765   7705.6
dest03 to dest07  OFWF	     310.588      305.21     3993   2418.3
dest03 to dest07  Basic	     310.588      305.21    15899  10087.3
dest03 to dest08  OFWF	     373.282     363.353     4264   3850.9
dest03 to dest08  Basic	     373.282     363.353    15921  10436.5
dest03 to dest09  OFWF	     306.684     286.282     3418   2054.6
dest03 to dest09  Basic	     306.684     286.282    12698   6773.8
dest04 to dest01  OFWF	     409.104     384.584     6065   3601.8
dest04 to dest01  Basic	     409.104     384.584    15285   8053.3
dest04 to dest02  OFWF	     228.882     216.229     2544   1508.7
dest04 to dest02  Basic	     228.882     216.229    13574   7763.4
dest04 to dest03  OFWF	     105.666     99.6876     1095      656
dest04 to dest03  Basic	     105.666     99.6876     3632     3107
dest04 to dest05  OFWF	     101.392     93.9926      755    464.8
dest04 to dest05  Basic	     101.392     93.9926     2963   1729.9
dest04 to dest06  OFWF	     207.748     194.586     2329   1423.7
dest04 to dest06  Basic	     207.748     194.586     6014   5115.3
dest04 to dest07  OFWF	     292.824     284.095     4052   2446.2
dest04 to dest07  Basic	     292.824     284.095    15326   8387.5
dest04 to dest08  OFWF	     355.518     342.237     4287   2748.9
dest04 to dest08  Basic	     355.518     342.237    15368  10101.3
dest04 to dest09  OFWF	      344.41     322.012     5418   3502.1
dest04 to dest09  Basic	     344.308     325.137    15630   8085.7
dest05 to dest01  OFWF	     449.078     426.357     8859   6536.5
dest05 to dest01  Basic	     449.078     426.357    16735   8527.3
dest05 to dest02  OFWF	     303.022     288.283     5905   3550.1
dest05 to dest02  Basic	     303.022     288.283    16848  10463.1
dest05 to dest03  OFWF	     197.118      187.99     2670     1707
dest05 to dest03  Basic	     197.118      187.99     9035   4765.1
dest05 to dest04  OFWF	     101.392     95.5787      851    517.6
dest05 to dest04  Basic	     101.392     95.5787     3513   2879.5
dest05 to dest06  OFWF	     111.048     102.877     1144    693.5
dest05 to dest06  Basic	     111.048     102.877     2891   2545.1
dest05 to dest07  OFWF	     226.366     210.913     2197   1320.5
dest05 to dest07  Basic	     226.366     210.913    11818   6825.8
dest05 to dest08  OFWF	     298.614     277.997     2557   1520.8
dest05 to dest08  Basic	     298.614     277.997    12133     6230
dest05 to dest09  OFWF	     368.384     349.792     5702   3710.2
dest05 to dest09  Basic	     368.384     349.792    16379   9422.5
dest06 to dest01  OFWF	     485.358     458.655    10846   7559.7
dest06 to dest01  Basic	     485.358     458.655    18144  10976.1
dest06 to dest02  OFWF	     339.302     320.594     7825   4645.1
dest06 to dest02  Basic	     339.302     320.594    18085  10251.7
dest06 to dest03  OFWF	     303.474     288.388     5062   4204.3
dest06 to dest03  Basic	     303.474     288.388    16800  11138.1
dest06 to dest04  OFWF	     207.748     194.869     2244     1359
dest06 to dest04  Basic	     207.748     194.869     9574   7041.9
dest06 to dest05  OFWF	     111.048     103.621     1135    690.5
dest06 to dest05  Basic	     111.048     103.621     3601   2061.5
dest06 to dest07  OFWF	     121.118     112.254      721    444.2
dest06 to dest07  Basic	     121.118     112.254     2498   1494.3
dest06 to dest08  OFWF	     193.366      179.36     1149   1771.5
dest06 to dest08  Basic	     193.366      179.36     3583   2145.4
dest06 to dest09  OFWF	     404.664     382.091     8645   5564.3
dest06 to dest09  Basic	     404.664     382.091    18144  10627.3
dest07 to dest01  OFWF	     391.034      369.84     5504   3239.5
dest07 to dest01  Basic	     391.034      369.84    14082     7618
dest07 to dest02  OFWF	     274.786     265.751     5216   3137.6
dest07 to dest02  Basic	     274.786     265.751    14933   7930.3
dest07 to dest03  OFWF	     310.588     304.093     3604   2194.2
dest07 to dest03  Basic	     310.588     305.772    15372  11570.2
dest07 to dest04  OFWF	      293.41     282.376     4340   2652.6
dest07 to dest04  Basic	     292.824       283.8    15554   8369.7
dest07 to dest05  OFWF	     226.366     210.004     2495   1493.1
dest07 to dest05  Basic	     226.366     210.004    11494   8125.1
dest07 to dest06  OFWF	     121.118     112.254      667    411.1
dest07 to dest06  Basic	     121.118     112.254     3291   2826.8
dest07 to dest08  OFWF	      72.252     67.1193      301      203
dest07 to dest08  Basic	      72.252     67.1193      693    366.9
dest07 to dest09  OFWF	      310.34     293.255     4142   2999.1
dest07 to dest09  Basic	      310.34     293.255    12951   9517.1
dest08 to dest01  OFWF	      451.97     428.703     9503   6526.6
dest08 to dest01  Basic	      451.97     428.703    17296     9843
dest08 to dest02  OFWF	      337.48     325.692     8428   5148.4
dest08 to dest02  Basic	     335.722     325.692    17331    10742
dest08 to dest03  OFWF	     373.868     364.645     7810   4776.1
dest08 to dest03  Basic	     373.282     364.645    18323  10289.5
dest08 to dest04  OFWF	     356.104     342.675     8061   5213.9
dest08 to dest04  Basic	     355.518     342.675    17128  10959.4
dest08 to dest05  OFWF	     298.614     277.139     3385   2154.7
dest08 to dest05  Basic	     298.614     277.139    15418   8882.3
dest08 to dest06  OFWF	     193.366      179.36     1252      773
dest08 to dest06  Basic	     193.366      179.36     5260   3199.7
dest08 to dest07  OFWF	      72.252     67.1193      400    251.4
dest08 to dest07  Basic	      72.252     67.1193     1135    709.1
dest08 to dest09  OFWF	     371.276     352.118     7963   5427.6
dest08 to dest09  Basic	     371.276     352.118    17130  11305.1
dest09 to dest01  OFWF	      80.698     75.5139      837    493.6
dest09 to dest01  Basic	      80.698     75.5139     1348   1839.4
dest09 to dest02  OFWF	     165.086     154.785     1673   1044.4
dest09 to dest02  Basic	     165.086     154.785     8898     6282
dest09 to dest03  OFWF	     306.684     285.817     3636   3250.7
dest09 to dest03  Basic	     306.684     285.817    16479   9278.1
dest09 to dest04  OFWF	      344.41     324.345     7035   4354.3
dest09 to dest04  Basic	     344.308     325.144    16994   9971.5
dest09 to dest05  OFWF	      368.97     347.123     5539   3649.2
dest09 to dest05  Basic	     368.384     347.787    17048  10141.2
dest09 to dest06  OFWF	     405.836     381.111     8411   5189.8
dest09 to dest06  Basic	     404.664     381.695    17440  11248.1
dest09 to dest07  OFWF	      310.34     294.731     4274   2601.7
dest09 to dest07  Basic	      310.34     294.731    16659  10948.1
dest09 to dest08  OFWF	     371.276      352.94     5356   3231.3
dest09 to dest08  Basic	     371.276      352.94    16554   8613.7

testmap1
tl to br  OFWF	     626.164     625.082     6226   3717.6
tl to br  Basic	     624.992     625.082   200250   119897
bl to mr  OFWF	     507.772     470.472    57110  37851.5
bl to mr  Basic	     507.772     470.472   203147   112453

testmap2
tl to br  OFWF	     844.742     820.197    73095  50304.8
tl to br  Basic	     844.742     826.466   130098  71493.6
ml to mr  OFWF	     1218.01     1180.43   162950   107755
ml to mr  Basic	     1218.01     1180.43   186370  98292.2
mr to ml  OFWF	     1218.01     1176.29   135417  91293.1
mr to ml  Basic	     1218.01     1176.29   183449  98624.8

testmap3
tl to br  OFWF	     725.784     682.252   130559  87739.1
tl to br  Basic	     725.198     682.252   195037   105867
tl to um  OFWF	      393.06     374.565    29165  20226.5
tl to um  Basic	      393.06     374.565   169208  90290.8

testmap4
tl to br  OFWF	     705.274     654.431   117326  83360.3
tl to br  Basic	     705.274     654.431   208120   117284
ml to mr  OFWF	     479.652     453.993    49991  31611.7
ml to mr  Basic	     479.652     453.993   196657   113199
ml to m  OFWF	     430.162     411.901    24646  15948.2
ml to m  Basic	     430.162     411.901   196329   109208
m to ml  OFWF	     430.162     409.889    83601  57162.8
m to ml  Basic	     430.162     409.889   181563  96356.8

testmap5
tl to br  OFWF	     666.012     635.139    31713  21665.8
tl to br  Basic	     666.012     645.835   148609  82267.2
bl to mr  OFWF	     507.772     472.481    32687    22120
bl to mr  Basic	     507.772     472.481   137227  71413.2
bl to m  OFWF	     321.556     303.589    12639   7781.7
bl to m  Basic	     321.556     307.467   139619  83672.4

testmap6
tl to br  OFWF	     832.436     801.696   128664  84324.2
tl to br  Basic	     832.436     807.252   174474  94252.3
bl to mr  OFWF	      507.53      471.19    47853  34201.8
bl to mr  Basic	     506.944      471.19   149208  85587.3
bl to cl  OFWF	     510.014     479.378    66963  46349.4
bl to cl  Basic	     510.014     479.378   140032  82307.4
tl to cl  OFWF	      742.41     710.001   113554  75119.6
tl to cl  Basic	      742.41     710.001   174579  94864.3
