name              wavetype     initial   smooth	    nodes  microsec
dest01 to dest02  OFWF	       181.6     169.293     1034    298.2
dest01 to dest02  Basic	       181.6     169.293     7907   1900.3
dest01 to dest03  OFWF	       322.4     300.289     2181      615
dest01 to dest03  Basic	       322.4     300.289    12852     3087
dest01 to dest04  OFWF	       412.2     386.347     7060   2031.5
dest01 to dest04  Basic	       412.2     386.347    13579   3298.1
dest01 to dest05  OFWF	       452.6     423.852     8038   2348.9
dest01 to dest05  Basic	       450.8      424.57    13611   3298.9
dest01 to dest06  OFWF	       486.8     456.701     8103     2369
dest01 to dest06  Basic	       486.8     457.615    13611   3328.1
dest01 to dest07  OFWF	       393.4     370.484     3877   1111.5
dest01 to dest07  Basic	       392.6     371.669    13611   3286.5
dest01 to dest08  OFWF	       455.2     429.899     4480     1292
dest01 to dest08  Basic	       455.2     431.126    13611   3276.1
dest01 to dest09  OFWF	        81.2     75.4506      493    115.9
dest01 to dest09  Basic	        81.2     75.4506     1211    291.1
dest02 to dest01  OFWF	       181.6     169.655      938    251.1
dest02 to dest01  Basic	       181.6     169.655     1749      415
dest02 to dest03  OFWF	       141.2     131.046      501      138
dest02 to dest03  Basic	       141.2     131.046     3337    799.9
dest02 to dest04  OFWF	         231     217.415     2496      709
dest02 to dest04  Basic	         231     217.421     9634   2331.2
dest02 to dest05  OFWF	         305     287.175     4304   1228.1
dest02 to dest05  Basic	         305     287.175    11821   2852.6
dest02 to dest06  OFWF	         341     320.223     2914    813.3
dest02 to dest06  Basic	         341     320.223    12028   2898.8
dest02 to dest07  OFWF	       274.2     264.214     1697    439.1
dest02 to dest07  Basic	       273.6     264.199    10447   2512.4
dest02 to dest08  OFWF	       336.8     323.522     1869    494.2
dest02 to dest08  Basic	       336.2     323.469    10430   2499.9
dest02 to dest09  OFWF	         167     155.561      803      220
dest02 to dest09  Basic	         167     155.561     3477    846.6
dest03 to dest01  OFWF	       322.4      300.32     1488      397
dest03 to dest01  Basic	       322.4      300.32     7799   1853.1
dest03 to dest02  OFWF	       141.2     131.046      496      130
dest03 to dest02  Basic	       141.2     131.046     4616   1128.1
dest03 to dest04  OFWF	       106.4     99.8887      777    215.3
dest03 to dest04  Basic	       106.4     99.8887     2899    699.9
dest03 to dest05  OFWF	       199.2     187.842     1340    374.3
dest03 to dest05  Basic	       198.4     187.842     6921   1674.3
dest03 to dest06  OFWF	         306     288.313     2779    798.4
dest03 to dest06  Basic	       305.2     288.313    10744   2593.9
dest03 to dest07  OFWF	       311.2     304.177     2502    707.9
