dest01 to dest02  OFWF	     180.226     168.575     1441    976.3
dest01 to dest02  Basic	     180.226     168.575    10132     5711
dest01 to dest03  OFWF	     321.824     299.611     3023   1769.4
dest01 to dest03  Basic	     321.824     299.611    17418  10698.5
dest01 to dest04  OFWF	     409.104     384.326     7910   4706.3
dest01 to dest04  Basic	     409.104     384.237    18827  11063.7
dest01 to dest05  OFWF	     449.664     422.741     9736   6792.1
dest01 to dest05  Basic	     449.078     423.273    18881    10903
dest01 to dest06  OFWF	     485.358     456.366    10314     7076
dest01 to dest06  Basic	     485.358     457.181    18881  11205.6
dest01 to dest07  OFWF	     391.034     369.539     4948   2939.9
dest01 to dest07  Basic	     391.034     370.218    18881  11312.7
dest01 to dest08  OFWF	     452.798     426.543     6056   3641.9
dest01 to dest08  Basic	      451.97     428.426    18881  11371.8
dest01 to dest09  OFWF	      80.698     75.5206      513    277.3
dest01 to dest09  Basic	      80.698     75.5206     1763    918.9
dest02 to dest01  OFWF	     180.226     168.398     1309   1760.1
dest02 to dest01  Basic	     180.226     168.398     2545   1368.6
dest02 to dest03  OFWF	     141.602     131.046      800    458.1
dest02 to dest03  Basic	     141.602     131.046     4627   2687.7
dest02 to dest04  OFWF	     228.882     215.757     3212     1909
dest02 to dest04  Basic	     228.882     215.668    12827   7292.7
dest02 to dest05  OFWF	      303.85     286.282     5317   4139.1
dest02 to dest05  Basic	     303.022     286.282    16178   9718.7
dest02 to dest06  OFWF	      340.13     320.292     3738   2182.9
dest02 to dest06  Basic	     339.302      320.19    16547   9381.2
dest02 to dest07  OFWF	     275.614     263.804     2259   1266.8
dest02 to dest07  Basic	     274.786     264.007    14340   7651.7
dest02 to dest08  OFWF	     337.378     322.833     2868   1688.9
dest02 to dest08  Basic	     335.722     322.557    14135     7990
dest02 to dest09  OFWF	     165.086     155.366     1297      737
dest02 to dest09  Basic	     165.086     155.366     4580   2450.2
dest03 to dest01  OFWF	     321.824     299.326     2156   1209.5
dest03 to dest01  Basic	     321.824     299.326    10251   6845.5
dest03 to dest02  OFWF	     141.602     131.046      794    440.1
dest03 to dest02  Basic	     141.602     131.046     6159   4585.3
dest03 to dest04  OFWF	     105.666     99.2792      864    534.9
dest03 to dest04  Basic	     105.666     99.2792     3952   2243.2
dest03 to dest05  OFWF	     198.774     187.433     1642   2030.6
dest03 to dest05  Basic	     197.118     187.433     9691   6588.2
dest03 to dest06  OFWF	      304.06     287.838     3457   2051.9
dest03 to dest06  Basic	     303.474     288.026    14765  10370.5
dest03 to dest07  OFWF	     310.588     304.417     2980   1774.2
dest03 to dest07  Basic	     310.588      305.21    15899   9974.3
dest03 to dest08  OFWF	     373.282     362.439     3215   1926.2
dest03 to dest08  Basic	     373.282     363.353    15921   8565.8
