dest01_to_dest02	OFWF	          741.4        692.849          23343        6799	    dest01_to_dest02	  Basic	          741.4          692.849          177897      41966	
dest01_to_dest03	OFWF	         1311.8        1223.23          49821       14973	    dest01_to_dest03	  Basic	         1311.8          1223.23          289954      67931	
dest01_to_dest04	OFWF	         1655.2        1558.09         140503       41432	    dest01_to_dest04	  Basic	         1654.4          1557.61          310335      73089	
dest01_to_dest05	OFWF	         1798.6        1694.63         156627       47296	    dest01_to_dest05	  Basic	         1798.6          1693.93          311769      73109	
dest01_to_dest06	OFWF	         1930.8           1820         163444       49427	    dest01_to_dest06	  Basic	         1930.8          1820.04          311769      73848	
dest01_to_dest07	OFWF	         1573.4        1480.57          79041       23767	    dest01_to_dest07	  Basic	         1572.6          1481.35          311769      74392	
dest01_to_dest08	OFWF	         1782.6        1680.59          98009       29114	    dest01_to_dest08	  Basic	           1781          1683.45          311769      73373	
dest01_to_dest09	OFWF	          333.8        310.468           3032         770	    dest01_to_dest09	  Basic	          333.8          310.468           29563       7087	
dest02_to_dest01	OFWF	          741.4        693.414          16414        4487	    dest02_to_dest01	  Basic	          741.4          693.414           46013      10915	
dest02_to_dest03	OFWF	          570.8        530.891           8150        1955	    dest02_to_dest03	  Basic	          570.8          530.891           75461      18026	
dest02_to_dest04	OFWF	          913.4        864.687          48427       14147	    dest02_to_dest04	  Basic	          913.4          864.253          203357      47771	
dest02_to_dest05	OFWF	           1218        1146.56          82671       25042	    dest02_to_dest05	  Basic	         1217.2          1146.56          265043      62332	
dest02_to_dest06	OFWF	         1350.6        1272.68          54176       16064	    dest02_to_dest06	  Basic	         1349.4          1272.98          271752      65034	
dest02_to_dest07	OFWF	         1111.2        1063.17          32618        8855	    dest02_to_dest07	  Basic	         1111.2           1067.2          234995      55421	
dest02_to_dest08	OFWF	         1319.6        1268.96          22346        6137	    dest02_to_dest08	  Basic	         1319.6          1268.81          229971      54043	
dest02_to_dest09	OFWF	          687.6        640.194          16186        4383	    dest02_to_dest09	  Basic	          687.6          640.194           96979      23085	
dest03_to_dest01	OFWF	         1311.8        1223.66          24228        6378	    dest03_to_dest01	  Basic	         1311.8          1223.66          176524      41478	
dest03_to_dest02	OFWF	          570.8        530.891           6977        1650	    dest03_to_dest02	  Basic	          570.8          530.891          108745      25685	
dest03_to_dest04	OFWF	          456.2        431.137          15826        4691	    dest03_to_dest04	  Basic	          456.2          438.341           67927      16196	
dest03_to_dest05	OFWF	          813.6        773.477          26473        7869	    dest03_to_dest05	  Basic	            812          779.708          163537      38695	
dest03_to_dest06	OFWF	         1211.4        1158.38          56627       17104	    dest03_to_dest06	  Basic	         1210.8          1163.09          241296      58132	
dest03_to_dest07	OFWF	         1254.4        1229.44          29940        8921	    dest03_to_dest07	  Basic	         1254.4          1242.17          261667      61659	
dest03_to_dest08	OFWF	         1473.6        1436.92          37017       11092	    dest03_to_dest08	  Basic	         1473.6          1443.04          262218      61539	
dest03_to_dest09	OFWF	           1258        1171.08          42230       11656	    dest03_to_dest09	  Basic	           1258          1171.08          226640      53200	
dest04_to_dest01	OFWF	         1654.4         1561.1          68245       20329	    dest04_to_dest01	  Basic	         1654.4          1559.89          258760      60759	
dest04_to_dest02	OFWF	            915        866.509          28170        8295	    dest04_to_dest02	  Basic	          913.4          866.509          227354      53399	
dest04_to_dest03	OFWF	          456.2        432.243           8920        2533	    dest04_to_dest03	  Basic	          456.2          433.167           63965      15253	
dest04_to_dest05	OFWF	          413.8         386.06           5380        1299	    dest04_to_dest05	  Basic	          413.8           386.06           48142      11512	
dest04_to_dest06	OFWF	          812.6        771.034          25478        7376	    dest04_to_dest06	  Basic	          812.6          770.884           89844      21555	
dest04_to_dest07	OFWF	         1211.8        1171.48          59059       17385	    dest04_to_dest07	  Basic	         1211.8          1182.26          261275      62287	
dest04_to_dest08	OFWF	           1431         1372.8          46518       13855	    dest04_to_dest08	  Basic	           1431          1383.13          261717      61420	
dest04_to_dest09	OFWF	         1386.8         1308.8          32082        9232	    dest04_to_dest09	  Basic	         1385.2          1314.26          263367      63946	
dest05_to_dest01	OFWF	         1798.6        1696.26         114308       34587	    dest05_to_dest01	  Basic	         1798.6          1697.06          278550      66307	
dest05_to_dest02	OFWF	         1217.2        1150.62          79100       23909	    dest05_to_dest02	  Basic	         1217.2          1159.99          280620      65783	
dest05_to_dest03	OFWF	          812.8        771.785          25159        8246	    dest05_to_dest03	  Basic	            812          771.756          158553      37423	
dest05_to_dest04	OFWF	          413.8         386.06           5193        1313	    dest05_to_dest04	  Basic	          413.8           386.06           57977      13840	
dest05_to_dest06	OFWF	            443        417.871           9064        2522	    dest05_to_dest06	  Basic	          442.4          416.356           49828      11963	
dest05_to_dest07	OFWF	          879.2        820.069          20952        5977	    dest05_to_dest07	  Basic	          879.2          820.012          191448      45335	
dest05_to_dest08	OFWF	         1174.4        1094.46          27645        8059	    dest05_to_dest08	  Basic	         1174.4          1094.45          203451      47950	
dest05_to_dest09	OFWF	         1465.2        1385.59          75676       22990	    dest05_to_dest09	  Basic	         1465.2           1386.4          273020      66073	
dest06_to_dest01	OFWF	         1930.8        1821.15         167157       50171	    dest06_to_dest01	  Basic	         1930.8          1823.97          299128      72217	
dest06_to_dest02	OFWF	         1349.4        1273.29         101552       30674	    dest06_to_dest02	  Basic	         1349.4          1286.01          297909      71564	
dest06_to_dest03	OFWF	           1214        1164.91          66988       20316	    dest06_to_dest03	  Basic	         1210.8          1165.15          270939      63695	
dest06_to_dest04	OFWF	          813.2        771.789          23842        7134	    dest06_to_dest04	  Basic	          812.6          775.118          143228      33675	
dest06_to_dest05	OFWF	          442.4        420.225          11382        3418	    dest06_to_dest05	  Basic	          442.4          427.441           57585      13739	
dest06_to_dest07	OFWF	          492.2        462.091           5904        1428	    dest06_to_dest07	  Basic	          492.2          464.509           40673       9857	
dest06_to_dest08	OFWF	          787.4        736.086           9059        2285	    dest06_to_dest08	  Basic	          787.4           737.85           66725      16023	
dest06_to_dest09	OFWF	         1597.4        1512.52         119586       35940	    dest06_to_dest09	  Basic	         1597.4          1513.32          299087      70494	
dest07_to_dest01	OFWF	         1572.6        1477.56          71238       21311	    dest07_to_dest01	  Basic	         1572.6          1477.56          239721      56127	
dest07_to_dest02	OFWF	         1111.2        1066.68          45802       12138	    dest07_to_dest02	  Basic	         1111.2          1073.58          251229      60568	
dest07_to_dest03	OFWF	         1256.2         1224.7          41550       12339	    dest07_to_dest03	  Basic	         1254.4          1237.71          257870      61405	
dest07_to_dest04	OFWF	         1212.4        1173.57          65641       19819	    dest07_to_dest04	  Basic	         1211.8          1173.57          262395      61595	
dest07_to_dest05	OFWF	          880.8         823.61          28490        8570	    dest07_to_dest05	  Basic	          879.2          826.739          181799      42900	
