dest01 to dest02  OFWF	       372.4        347.617        5301      1522.75
dest01 to dest02  Basic	       372.4        347.617       40662      9810.75
dest01 to dest03  OFWF	       657.8         613.07       11424      3303.25
dest01 to dest03  Basic	       657.8         613.07       65430        15544
dest01 to dest04  OFWF	         831        781.466       33457       9769.5
dest01 to dest04  Basic	         831        781.466       69933      16800.8
dest01 to dest05  OFWF	       900.6        847.749       36353        10851
dest01 to dest05  Basic	         900        847.902       70146      16734.8
dest01 to dest06  OFWF	       969.6        911.967       37937      11158.8
dest01 to dest06  Basic	       969.6        912.819       70146        16739
dest01 to dest07  OFWF	       789.2        741.963       18287      5405.75
dest01 to dest07  Basic	       788.4        740.735       70146      17005.5
dest01 to dest08  OFWF	       896.4        844.305       22221      6545.25
dest01 to dest08  Basic	       896.4        844.305       70146      16729.8
dest01 to dest09  OFWF	       167.4        155.551        1216       302.75
dest01 to dest09  Basic	       167.4         155.51        6571      1575.25
dest02 to dest01  OFWF	       372.4        348.277        4547       1201.5
dest02 to dest01  Basic	       372.4        348.277       10247      2420.25
dest02 to dest03  OFWF	       285.8        265.663        2630       651.25
dest02 to dest03  Basic	       285.8        265.663       16860       4018.5
dest02 to dest04  OFWF	         459        433.856       11714         3320
dest02 to dest04  Basic	         459        433.856       46471        11213
dest02 to dest05  OFWF	       609.6        573.736       19732      5915.25
dest02 to dest05  Basic	       608.8        573.736       59812      14396.8
dest02 to dest06  OFWF	       679.2        638.665       13390      3865.25
dest02 to dest06  Basic	       678.4        638.665       61260        14631
dest02 to dest07  OFWF	       554.8        531.924        6460         1661
dest02 to dest07  Basic	       554.8        533.654       52799      12602.8
dest02 to dest08  OFWF	       662.8        638.737        7413      1951.25
dest02 to dest08  Basic	       662.8        636.809       52122      12621.5
dest02 to dest09  OFWF	       345.8         322.16        4524      1199.25
dest02 to dest09  Basic	       345.8         322.16       22339       5286.5
dest03 to dest01  OFWF	       657.8        613.634        7346      1868.25
dest03 to dest01  Basic	       657.8        613.634       40256         9595
dest03 to dest02  OFWF	       285.8        265.663        2549       722.75
dest03 to dest02  Basic	       285.8        265.663       25007      5898.75
dest03 to dest04  OFWF	         229        219.279        4152      1203.75
dest03 to dest04  Basic	         229        219.666       15457      3707.75
dest03 to dest05  OFWF	         410        391.103        6648       1934.5
dest03 to dest05  Basic	       409.2        391.672       37235      8895.25
dest03 to dest06  OFWF	       611.2        584.101       14018         4150
dest03 to dest06  Basic	       610.4        583.624       54746        13254
dest03 to dest07  OFWF	       629.8        617.881        9241      2732.75
dest03 to dest07  Basic	       629.8        621.305       59568      14249.5
dest03 to dest08  OFWF	       740.8        722.087        9603         2839
