dest01 to dest02  	 71.22	67.1188	   21019	6596.2	 7077.2		 71.22	67.1188	  165507	39304.4	39766.4	
dest01 to dest03  	127.06	119.087	   46812	14152.8	  15312		127.06	119.087	  286142	67473.2	68397.2	
dest01 to dest04  	161.96	153.126	  123508	37868.6	39710.6		161.96	153.062	  310167	73611.8	74709.2	
dest01 to dest05  	177.94	168.138	  152295	 46636	48299.8		177.94	168.282	  311595	73940.2	75131.2	
dest01 to dest06  	192.32	181.552	  165559	50697.4	52540.6		192.32	182.261	  311595	74283.4	75618.6	
dest01 to dest07  	 154.7	145.931	   77249	23695.4	25078.4		154.62	147.199	  311595	75697.6	  76790	
dest01 to dest08  	 178.4	169.167	   96375	29116.6	30651.6		 178.4	170.224	  311595	75701.4	76814.2	
dest01 to dest09  	 32.18	30.0922	    3462	 971.4	 1390.6		 32.18	30.0922	   28994	6892.8	 7284.6	
dest02 to dest01  	 71.22	66.9833	   16462	4572.2	   5029		 71.22	66.9833	   42259	9997.2	10463.2	
dest02 to dest03  	 55.88	51.9711	    7915	1933.2	 3340.6		 55.88	51.9711	   76122	18065.6	18385.6	
dest02 to dest04  	 90.78	86.0116	   46892	14039.8	14774.4		 90.78	85.9474	  210882	 50627	51234.2	
dest02 to dest05  	120.42	113.908	   78596	24000.8	25109.8		120.34	113.908	  266760	63689.6	64785.2	
dest02 to dest06  	 134.8	127.558	   53031	16140.2	17362.4		134.72	127.888	  273046	 65811	  67008	
dest02 to dest07  	109.02	105.131	   26091	  7205	 8740.4		109.02	105.018	  236987	56351.6	57921.6	
dest02 to dest08  	 132.8	128.314	   25089	6947.8	 8626.4		 132.8	128.148	  232484	55172.6	56749.8	
dest02 to dest09  	 65.92	61.9686	   15548	4286.4	 5542.6		 65.92	62.3039	   79093	18651.8	19088.6	
dest03 to dest01  	127.06	118.901	   28427	7684.6	 8644.2		127.06	118.901	  167138	39430.8	40169.4	
dest03 to dest02  	 55.88	51.9711	    7074	1707.8	 2614.6		 55.88	51.9711	   99124	23405.8	23697.4	
dest03 to dest04  	 42.24	39.6885	   10623	3448.8	 3750.2		 42.24	39.6885	   65793	16188.4	16464.6	
dest03 to dest05  	 78.36	74.7281	   21633	  6397	 7065.6		 78.36	74.7243	  160416	38315.8	38991.6	
dest03 to dest06  	120.58	115.108	   52465	 16077	16962.4		120.42	115.072	  243343	57804.8	58704.2	
dest03 to dest07  	122.96	120.725	   42028	12918.6	14536.2		 122.9	121.212	  262207	63864.4	65492.6	
dest03 to dest08  	147.76	143.796	   47622	14412.6	16118.2		147.76	144.267	  263148	62748.8	  64445	
dest03 to dest09  	121.76	113.925	   31242	8795.6	  10164		121.76	114.212	  209818	49771.4	50494.6	
dest04 to dest01  	162.04	153.299	   68055	20230.6	21320.8		161.96	153.299	  251436	59545.8	  60576	
dest04 to dest02  	 91.02	86.3182	   30043	9164.8	 9757.2		 90.78	86.3785	  223258	53578.6	54245.8	
dest04 to dest03  	 42.24	39.8632	    8985	2623.2	 2915.4		 42.24	39.9075	   60427	14325.6	14639.4	
dest04 to dest05  	 40.24	37.4872	    7464	1885.4	 2167.2		 40.24	37.4856	   48929	11781.2	12018.6	
dest04 to dest06  	  82.3	77.8401	   25847	7650.2	 8243.2		  82.3	77.8338	   98659	 23597	24087.2	
dest04 to dest07  	116.34	112.829	   41136	12262.4	14133.6		116.28	113.384	  253328	 60337	62005.6	
dest04 to dest08  	141.14	135.908	   44838	13475.2	  15238		141.14	136.439	  254601	60296.2	62086.4	
dest04 to dest09  	136.26	129.502	   31493	  9547	10934.6		136.18	129.743	  256826	61896.8	62973.8	
dest05 to dest01  	177.94	168.988	  125961	39557.8	41063.6		177.94	169.592	  276099	66101.8	67447.8	
dest05 to dest02  	120.34	114.534	   86310	 26611	27664.4		120.34	114.959	  277601	65968.2	  67169	
dest05 to dest03  	 78.52	75.136	   28322	  8383	 9035.4		 78.36	75.3542	  148683	35122.4	35701.6	
dest05 to dest04  	 40.24	37.6035	    6246	1517.6	 2228.8		 40.24	38.1665	   57266	13659.6	  13917	
dest05 to dest06  	  44.2	41.1437	    6538	1609.6	   2252		  44.2	41.1437	   48237	11591.2	  12248	
dest05 to dest07  	 89.96	83.8035	   22117	6417.2	 7543.4		 89.96	84.2082	  194749	46660.8	47589.4	
dest05 to dest08  	118.46	110.412	   27291	8058.6	 9573.4		118.46	110.817	  200144	 47627	48705.4	
dest05 to dest09  	 145.8	138.666	   80137	24401.6	25767.8		 145.8	138.897	  270099	64330.4	65480.4	
dest06 to dest01  	192.32	181.873	  169671	54025.8	  55753		192.32	182.477	  300328	72355.6	  73883	
dest06 to dest02  	134.72	127.852	  113589	34952.4	36327.4		134.72	127.852	  299401	71346.8	  72637	
dest06 to dest03  	 120.5	115.62	   62786	 19085	20146.6		120.42	115.484	  277405	65396.4	66321.2	
dest06 to dest04  	  82.3	77.8992	   20083	  5774	 6493.2		  82.3	77.8981	  156463	37173.4	37827.6	
