dest01_to_dest02	   360.8	        337.153	        5006	  1464.67	  108.333		    360.8	        337.153	       38562	  9131.67	      116	
dest01_to_dest03	   641.4	        598.183	       10831	  3159.33	  110.333		    641.4	        598.183	       65029	    15470	  122.667	
dest01_to_dest04	   818.2	        769.442	       29027	     8514	  115.333		    818.2	        769.442	       69896	  16535.7	  123.333	
dest01_to_dest05	     895	        843.329	       35880	    10726	      118		    894.4	        843.404	       70125	    16572	      124	
dest01_to_dest06	     965	        906.643	       37999	    11289	  118.667		      965	        907.499	       70125	    16574	  123.667	
dest01_to_dest07	   780.2	        735.275	       18024	  5315.33	  113.333		    779.4	        732.807	       70125	  16807.7	  124.333	
dest01_to_dest08	   898.2	        846.077	       21962	  6682.33	      115		    898.2	        846.077	       70125	  16619.7	      125	
dest01_to_dest09	     162	        150.694	        1021	      259	  106.667		      162	        150.694	        6475	  1546.67	  108.667	
dest02_to_dest01	   360.8	         337.67	        4493	     1200	  108.667		    360.8	         337.67	        9563	     2258	  109.667	
dest02_to_dest03	     281	        261.192	        2442	  625.333	      109		      281	        261.192	       17089	  4111.33	  111.333	
dest02_to_dest04	   457.8	        432.292	       11723	  3398.33	  110.333		    457.8	        432.292	       47494	  11398.7	  118.333	
dest02_to_dest05	   606.8	        571.888	       19418	  5744.33	  112.333		      606	        571.888	       60290	  14625.3	  121.667	
dest02_to_dest06	   677.4	        635.995	       12972	  3757.33	  110.333		    676.6	        635.995	       61594	  14630.7	  121.667	
dest02_to_dest07	   549.2	        528.693	        8178	     2190	      109		    548.6	        527.314	       53359	  12627.3	  119.667	
dest02_to_dest08	   667.4	        640.843	        6926	  1845.33	      109		    667.4	        640.979	       52785	  12527.3	  119.333	
dest02_to_dest09	   332.8	        310.054	        4275	     1132	  108.333		    332.8	        310.054	       18360	  4339.33	      111	
dest03_to_dest01	   641.4	        598.524	        7182	  1873.67	  109.667		    641.4	        598.524	       38609	     9039	      117	
dest03_to_dest02	     281	        261.192	        2480	  607.333	  107.333		      281	        261.192	       22947	     5425	  112.667	
dest03_to_dest04	   215.2	        201.706	        3030	      860	  107.667		    215.2	        201.706	       14842	  3530.33	  110.333	
dest03_to_dest05	     395	        374.664	        5700	  1637.67	  108.667		      395	        374.444	       35839	  8492.67	  115.333	
dest03_to_dest06	   606.8	        573.334	       12792	  3798.67	  110.667		    604.8	        573.334	       54721	  13171.3	      120	
dest03_to_dest07	   619.8	         609.08	       10424	  3047.33	  110.333		    619.8	        609.445	       59453	  14461.3	  121.667	
dest03_to_dest08	   741.6	        722.274	       11086	  3272.67	  110.667		    741.6	        722.998	       59395	    14238	  121.333	
dest03_to_dest09	   613.4	        571.244	        8717	  2328.33	  110.667		    613.4	        571.244	       47942	  11354.7	      119	
dest04_to_dest01	     819	        769.745	       16262	     4814	  112.667		    818.2	        769.745	       57420	    13540	  121.667	
dest04_to_dest02	   458.6	        432.109	        7352	  2119.67	      109		    457.8	        432.109	       50980	  12190.7	  118.667	
dest04_to_dest03	   215.2	        202.674	        2494	  689.667	      107		    215.2	        202.674	       13601	  3608.33	  110.333	
dest04_to_dest05	   201.8	        187.843	        1830	  433.333	      107		    201.8	        187.843	       10626	     2499	  108.667	
dest04_to_dest06	   411.6	        386.717	        6529	     1857	  109.333		    411.6	        386.722	       21295	  5057.67	  111.333	
dest04_to_dest07	   589.2	        569.767	       10254	     2958	  110.333		    589.2	        573.802	       57799	    13873	  120.667	
dest04_to_dest08	     711	        683.451	       10840	  3133.67	      111		      711	        687.355	       57810	  13862.3	      121	
dest04_to_dest09	   689.4	         645.69	       11922	     3291	  110.333		    689.4	         648.87	       59024	    14207	  121.667	
dest05_to_dest01	   894.4	        846.006	       28677	  8572.33	  115.667		    894.4	         846.97	       62493	    14790	  122.333	
dest05_to_dest02	     606	        574.689	       20227	  6013.67	  112.333		      606	        578.766	       62935	    14937	  122.333	
dest05_to_dest03	     395	        374.559	        6930	     1987	  108.667		      395	        374.449	       33718	     7964	  114.667	
dest05_to_dest04	   201.8	        187.843	        1902	  445.667	  107.333		    201.8	        187.843	       12784	  3044.33	  109.667	
dest05_to_dest06	   221.6	        206.217	        2063	  521.667	      107		    221.6	        206.217	       10726	     2567	  109.333	
dest05_to_dest07	     451	        418.918	        5488	  1532.33	      109		      451	        418.918	       43994	  10873.7	  117.667	
dest05_to_dest08	   594.2	        552.617	        6517	  1848.67	      109		    594.2	        552.617	       45406	  10863.7	  117.667	
dest05_to_dest09	   732.8	        695.157	       18374	     5423	  112.667		    732.8	        695.651	       61231	    14543	      122	
dest06_to_dest01	     965	        908.967	       38782	    11588	  118.667		      965	        909.931	       67287	    16016	      124	
dest06_to_dest02	   676.6	        637.325	       26319	  7820.33	  114.667		    676.6	        641.754	       67064	  16137.7	  123.667	
dest06_to_dest03	   607.2	        574.171	       15417	     4481	  111.333		    604.8	        575.979	       62206	  14734.7	      122	
dest06_to_dest04	   411.6	        386.737	        5695	     1580	  108.333		    411.6	         388.51	       34152	     8067	  114.667	
dest06_to_dest05	   221.6	        207.654	        2365	  575.333	  107.667		    221.6	        210.427	       13213	     3125	  109.333	
dest06_to_dest07	   242.6	        225.854	        1833	  463.333	  106.667		    242.6	        225.854	        8842	     2130	  108.333	
dest06_to_dest08	   385.8	        359.607	        2798	      708	      108		    385.8	        359.607	       12996	  3175.67	      111	
dest06_to_dest09	   803.4	        758.352	       28310	  8445.67	  115.667		    803.4	        758.612	       67287	    16227	      124	
dest07_to_dest01	   780.2	         734.37	       17251	     5387	  112.333		    779.4	        736.797	       52689	  12497.7	  119.333	
dest07_to_dest02	   548.6	        528.756	       12067	  3071.33	  109.667		    548.6	        532.264	       55937	    13291	  120.333	
dest07_to_dest03	   620.4	        608.252	        9430	  2751.67	  109.667		    619.8	        608.904	       57762	  13782.7	  120.667	
dest07_to_dest04	   589.2	        571.543	       12694	  3674.33	  110.333		    589.2	        571.543	       58376	    13843	  121.667	
dest07_to_dest05	     451	        420.925	        7220	  2091.67	  108.667		      451	        420.051	       42281	  10112.7	  116.667	
dest07_to_dest06	   242.6	        225.854	        1692	  436.333	  107.333		    242.6	        225.854	       12269	     2943	  109.667	
dest07_to_dest08	   143.6	        133.765	         872	      222	  107.667		    143.6	        133.765	        2414	  593.333	  107.333	
dest07_to_dest09	   617.8	        583.708	       12361	  3619.67	      111		    617.8	        586.134	       48421	  11631.7	      118	
dest08_to_dest01	     899	        847.083	       32004	     9454	  116.333		    898.2	        847.083	       64244	    15218	  123.667	
dest08_to_dest02	   667.4	         646.62	       29190	  8630.33	  115.333		    667.4	         646.62	       64410	  15350.7	  122.333	
dest08_to_dest03	   742.2	        720.688	       24540	     7420	  114.333		    741.6	        721.614	       68216	  16551.3	      124	
dest08_to_dest04	     711	         683.98	       23616	  7083.67	  114.333		      711	         683.98	       63653	  15160.7	  122.333	
dest08_to_dest05	   594.2	        552.609	        9202	  2660.67	      110		    594.2	        553.426	       57319	    13944	      121	
dest08_to_dest06	   385.8	        359.607	        2854	  731.333	  107.667		    385.8	        359.607	       19518	  4723.33	  111.667	
dest08_to_dest07	   143.6	        133.765	         915	  239.667	  107.333		    143.6	        133.765	        4005	  966.667	  107.333	
dest08_to_dest09	   736.6	         696.42	       24938	  7411.33	      115		    736.6	         696.42	       63591	  15382.7	  122.333	
dest09_to_dest01	     162	          150.9	        2699	  770.333	      108		      162	          150.9	        5065	     1175	      108	
dest09_to_dest02	   332.8	        310.722	        5614	  1637.67	  108.333		    332.8	        310.722	       34421	  8279.67	  115.667	
dest09_to_dest03	   613.4	        571.894	       12040	  3588.67	  110.667		    613.4	        571.894	       62128	  14835.3	  122.667	
dest09_to_dest04	   689.4	        646.957	       20705	  6099.33	  113.333		    689.4	        646.185	       63373	    15143	  122.333	
dest09_to_dest05	   732.8	        693.108	        9920	     2631	  110.333		    732.8	        692.871	       63418	  15036.7	  122.333	
dest09_to_dest06	   803.4	         756.11	       14031	  3814.33	  111.333		    803.4	        756.965	       64807	    15543	      123	
dest09_to_dest07	   618.6	        584.756	       11594	  3309.67	      111		    617.8	        582.288	       61938	    14797	  121.667	
dest09_to_dest08	   737.4	        695.558	       15791	     4560	  111.667		    736.6	        695.558	       61689	  14826.7	      122	
